Name, Website Name, Price 
LG U,  LG U,27950
Vivo V9,  Vivo V9 Youth,27999
Vivo V9 Youth,  Vivo V9 Youth,27999
Tecno Camon 15,  Tecno Camon 15 Pro,27999
Tecno Camon 15 Pro,  Tecno Camon 15 Pro,27999
Sony Xperia L,  Sony Xperia L2,27999
Sony Xperia L2,  Sony Xperia L2,27999
Samsung Galaxy A10e,  Samsung Galaxy A10e,27999
OPPO A53,  Oppo A53,27999
Lenovo P2,  Lenovo P2,27999
Samsung Galaxy Jean,  Samsung Galaxy Jean 2,28000
Motorola Moto G5S,  Motorola Moto G5S Plus,28000
LG Optimus Vu,  LG Optimus Vu P895,28000
HTC One Max,  HTC One Max,28000
Asus Zenfone Max,  Asus Zenfone Max Pro M3,28000
Huawei MediaPad T3 10,  Huawei MediaPad T3 10,28699
Nokia 6.1,  Nokia 6.1 Plus,28799
Huawei Nova Plus,  Huawei Nova Plus,28890
Samsung Galaxy J7 Pro,  Samsung Galaxy J7 Pro,28945
Tecno Camon X,  Tecno Camon X Pro,28999
Tecno Camon X Pro,  Tecno Camon X Pro,28999
Realme C17,  Realme C17,28999
Realme C1,  Realme C17,28999
LG Q6,  LG Q6,28999
Huawei Y7p,  Huawei Y7p,28999
OPPO F3,  Oppo F3 Black,29000
Huawei Mate 10,  Huawei Mate 10,29000
Asus Zenfone 3 ZE520KL,  Asus Zenfone 3 ZE520KL,29000
Samsung Galaxy E7,  Samsung Galaxy E7,29099
Samsung Galaxy A12,  Samsung Galaxy A12 128GB,29750
LG X mach,  LG X Mach,29800
Huawei G8,  Huawei G8,29949
ZTE Blade V10,  ZTE Blade V10 Vita,29999
Vivo Y19,  Vivo Y19,29999
Vivo Y30,  Vivo Y30 128GB,29999
Vivo Z3,  Vivo Z3x,29999
Tecno Camon 11,  Tecno camon 11 pro,29999
Tecno Camon 16 Pro,  Tecno Camon 16 Pro,29999
Samsung Galaxy M20,  Samsung Galaxy M20s,29999
Samsung Galaxy J5 Pro,  Samsung Galaxy J5 Pro,29999
Realme 5s,  Realme 5s,29999
Realme 6i,  Realme 6i,29999
OPPO A5s,  Oppo A5s 4GB,29999
LG K30,  LG K30,29999
Infinix Zero 5,  Infinix Zero 5 Pro,29999
Infinix Zero 6,  Infinix Zero 6,29999
Huawei Enjoy 9,  Huawei Enjoy 9e,29999
Alcatel A7 XL,  alcatel A7 XL,29999
Vivo U1,  vivo U10,30000
OPPO R7 Plus,  Oppo R7 Plus,30000
OPPO R15 Neo,  Oppo R15 Neo (AX5),30000
LG Q51,  LG Q51,30000
Vivo Y69,  Vivo Y69,30300
Samsung Galaxy A5 Duos,  Samsung Galaxy A5 Duos,30349
Alcatel 5V,  alcatel 5V,30400
Samsung Galaxy A20s,  Samsung Galaxy A20s,30500
Samsung Galaxy A20,  Samsung Galaxy A20s,30500
HTC Butterfly 2,  HTC Butterfly 2,30500
Lenovo Vibe X2,  Lenovo Vibe X2,30600
Samsung Galaxy J3 Star,  Samsung Galaxy J3 Star (2018),30700
Samsung Galaxy J3,  Samsung Galaxy J3 Star (2018),30700
HTC One M8,  HTC One M8 Prime,30700
Samsung Galaxy J6,  Samsung Galaxy J6+ Plus,30999
Samsung Galaxy J6+,  Samsung Galaxy J6+ Plus,30999
Vivo V11,  Vivo V11i,31000
LG K50,  LG K50,31000
OPPO N3,  Oppo N3,31499
Samsung Galaxy Wide 3,  Samsung Galaxy Wide 3,31900
Vivo Y3,  Vivo Y31,31999
Vivo Z5x,  Vivo Z5x 2020,31999
Vivo Y95,  Vivo Y95,31999
Vivo Y31,  Vivo Y31,31999
Vivo Z5,  Vivo Z5x 2020,31999
Sony Xperia L3,  Sony Xperia L3,31999
OPPO A7,  Oppo A7,31999
OPPO A5,  Oppo A54,31999
OPPO A54,  Oppo A54,31999
Lenovo S5 Pro,  Lenovo S5 Pro GT,31999
Huawei P10 Lite,  Huawei P10 Lite,31999
Samsung Galaxy J7 (2017),  Samsung Galaxy J7 (2017),32000
LG Optimus Vu II,  LG Optimus Vu II,32000
HTC Desire Eye,  HTC Desire Eye,32000
Samsung Galaxy J7 Max,  Samsung Galaxy J7 Max,32499
HTC One X10,  HTC One X10,32500
Samsung Galaxy A7 (2016),  Samsung Galaxy A7 (2016),32599
OnePlus X,  OnePlus X,32899
Xiaomi POCO M3,  Xiaomi Poco M3 Pro,32999
Vivo Y20G,  Vivo Y20G,32999
Sony Xperia XA1 Plus,  Sony Xperia XA1 Plus,32999
Sony Xperia XA1,  Sony Xperia XA1 Plus,32999
Samsung Galaxy C7,  Samsung Galaxy C7 Pro,32999
POCO M3 Pro 5G,  Xiaomi Poco M3 Pro 5G,32999
Lenovo K10 Plus,  Lenovo K10 Plus,32999
HTC Desire,  HTC Desire 610,33000
Sony Xperia XA Ultra,  Sony Xperia XA Ultra,33499
Asus ZenFone 2,  Asus Zenfone 2 Deluxe ZE551ML,33499
Huawei Honor 9,  Huawei Honor 9N,33700
Huawei Honor 9i,  Huawei Honor 9i Play,33700
Huawei Honor 9I,  Huawei Honor 9i Play,33700
Vivo Y17,  Vivo Y17,33999
Samsung Galaxy A21,  Samsung Galaxy A21s 128GB,33999
Samsung Galaxy A21s,  Samsung Galaxy A21s 128GB,33999
Realme 7,  Realme 7i,33999
Realme 7i,  Realme 7i,33999
LG Stylo 5,  LG Stylo 5,33999
Huawei Nova 2s,  Huawei nova 2s,33999
Huawei Nova 2,  Huawei nova 2s,33999
Huawei nova 2s,  Huawei nova 2s,33999
Huawei Y9 Prime,  Huawei Y9 Prime 2019,33999
Infinix Hot 6X,  Infinix Hot 6X,34000
Asus ZenFone 3 Zoom,  Asus Zenfone 3 Zoom ZE553KL,34000
Huawei Honor 6 Plus,  Huawei Honor 6 Plus,34499
Vivo S1 (China), Vivo S1,34599
Tecno Phantom 9,  Tecno Phantom 9,34999
Samsung Galaxy A20e,  Samsung Galaxy A20e,34999
OPPO A52,  Oppo A52,34999
Lenovo S5,  Lenovo S5,34999
Infinix Zero 8i,  Infinix Zero 8i,34999
Infinix Zero 8,  Infinix Zero 8i,34999
Huawei P20 Lite,  Huawei P20 lite (2019),34999
Huawei Mate 10 Lite,  Huawei Mate 10 Lite,34999
Huawei Honor 10,  Huawei Honor 10 Lite,34999
Huawei Honor 10 Lite,  Huawei Honor 10 Lite,34999
OnePlus One,  OnePlus One,35000
Huawei Ascend P6,  Huawei Ascend P6,35500
General Mobile 5 Plus,  General Mobile 5 Plus,35555
Xiaomi Redmi Note 10 5G,  Xiaomi Redmi Note 10 5G 6GB,35999
Vivo S1,  Vivo S1 4GB,35999
Vivo V7 Plus,  Vivo V7 Plus,35999
OPPO K3,  Oppo K3,35999
Infinix Note 10 Pro,  Infinix Note 10 Pro 256GB,35999
Samsung Galaxy J8,  Samsung Galaxy J8,36249
Asus Zenfone V V520KL,  Asus Zenfone V V520KL,36500
Samsung Galaxy A8 (2016),  Samsung Galaxy A8 (2016),36749
Xiaomi Redmi Note 9,  Xiaomi Redmi Note 9S 4GB,36999
Samsung Galaxy A31,  Samsung Galaxy A31,36999
LG V40 ThinQ,  LG V40 ThinQ,36999
Huawei Nova 3,  Huawei Nova 3i,36999
Huawei nova 3,  Huawei Nova 3i,36999
Huawei nova 3i,  Huawei Nova 3i,36999
Huawei NOVA 3I,  Huawei Nova 3i,36999
Asus Zenfone 3 ZE552KL,  Asus Zenfone 3 ZE552KL,37099
OPPO A9 (2020), Oppo A9 (2020),37200
Motorola Moto X,  Motorola Moto X Style,37500
HTC One X,  HTC One X9,37500
HTC One X9,  HTC One X9,37500
LeEco Le S3,  LeEco Le S3,37528
Infinix Note 5 Stylus,  Infinix Note 5 Stylus,37899
Infinix Note 5,  Infinix Note 5 Stylus,37899
Vivo Y83,  Vivo Y83,37900
TCL 10L,  TCL 10L,37999
OPPO A9,  Oppo A9 2020,37999
LG X Venture,  LG X venture,37999
Samsung Galaxy A40s,  Samsung Galaxy A40s,38000
